Score	Method	Counts
0	makerC6	5354
1	makerC6	11
2	makerC6	5
3	makerC6	10
4	makerC6	8
5	makerC6	7
6	makerC6	10
7	makerC6	9
8	makerC6	12
9	makerC6	11
10	makerC6	18
11	makerC6	18
12	makerC6	14
13	makerC6	16
14	makerC6	28
15	makerC6	20
16	makerC6	23
17	makerC6	21
18	makerC6	34
19	makerC6	25
20	makerC6	27
21	makerC6	37
22	makerC6	35
23	makerC6	27
24	makerC6	34
25	makerC6	36
26	makerC6	40
27	makerC6	32
28	makerC6	42
29	makerC6	37
30	makerC6	54
31	makerC6	48
32	makerC6	66
33	makerC6	57
34	makerC6	49
35	makerC6	84
36	makerC6	59
37	makerC6	69
38	makerC6	62
39	makerC6	58
40	makerC6	72
41	makerC6	75
42	makerC6	92
43	makerC6	78
44	makerC6	77
45	makerC6	91
46	makerC6	104
47	makerC6	92
48	makerC6	113
49	makerC6	96
50	makerC6	96
51	makerC6	106
52	makerC6	108
53	makerC6	126
54	makerC6	138
55	makerC6	147
56	makerC6	120
57	makerC6	172
58	makerC6	163
59	makerC6	164
60	makerC6	174
61	makerC6	178
62	makerC6	183
63	makerC6	205
64	makerC6	206
65	makerC6	186
66	makerC6	187
67	makerC6	217
68	makerC6	211
69	makerC6	203
70	makerC6	215
71	makerC6	236
72	makerC6	251
73	makerC6	276
74	makerC6	279
75	makerC6	315
76	makerC6	330
77	makerC6	388
78	makerC6	363
79	makerC6	413
80	makerC6	443
81	makerC6	507
82	makerC6	571
83	makerC6	576
84	makerC6	631
85	makerC6	667
86	makerC6	718
87	makerC6	746
88	makerC6	762
89	makerC6	808
90	makerC6	835
91	makerC6	850
92	makerC6	873
93	makerC6	845
94	makerC6	829
95	makerC6	782
96	makerC6	638
97	makerC6	542
98	makerC6	402
99	makerC6	207
100	makerC6	322
