Score	Method	Counts
0	makerC5	1984
1	makerC5	18
2	makerC5	26
3	makerC5	25
4	makerC5	29
5	makerC5	32
6	makerC5	28
7	makerC5	24
8	makerC5	31
9	makerC5	41
10	makerC5	39
11	makerC5	33
12	makerC5	48
13	makerC5	56
14	makerC5	49
15	makerC5	55
16	makerC5	57
17	makerC5	69
18	makerC5	85
19	makerC5	65
20	makerC5	83
21	makerC5	86
22	makerC5	83
23	makerC5	120
24	makerC5	114
25	makerC5	114
26	makerC5	117
27	makerC5	118
28	makerC5	136
29	makerC5	156
30	makerC5	170
31	makerC5	131
32	makerC5	131
33	makerC5	131
34	makerC5	138
35	makerC5	157
36	makerC5	204
37	makerC5	184
38	makerC5	180
39	makerC5	173
40	makerC5	198
41	makerC5	212
42	makerC5	250
43	makerC5	253
44	makerC5	255
45	makerC5	225
46	makerC5	257
47	makerC5	270
48	makerC5	257
49	makerC5	275
50	makerC5	304
51	makerC5	296
52	makerC5	316
53	makerC5	322
54	makerC5	332
55	makerC5	355
56	makerC5	346
57	makerC5	359
58	makerC5	419
59	makerC5	443
60	makerC5	424
61	makerC5	432
62	makerC5	465
63	makerC5	540
64	makerC5	500
65	makerC5	474
66	makerC5	487
67	makerC5	467
68	makerC5	485
69	makerC5	468
70	makerC5	520
71	makerC5	514
72	makerC5	536
73	makerC5	534
74	makerC5	570
75	makerC5	570
76	makerC5	612
77	makerC5	666
78	makerC5	685
79	makerC5	672
80	makerC5	712
81	makerC5	803
82	makerC5	812
83	makerC5	829
84	makerC5	899
85	makerC5	1013
86	makerC5	1056
87	makerC5	1084
88	makerC5	1186
89	makerC5	1220
90	makerC5	1321
91	makerC5	1425
92	makerC5	1534
93	makerC5	1571
94	makerC5	1704
95	makerC5	1772
96	makerC5	1850
97	makerC5	1828
98	makerC5	1755
99	makerC5	1156
100	makerC5	480
