PS	Method	PC
cellular_organisms	makerC5	97.9458
Eukaryota	makerC5	98.4185
Viridiplantae	makerC5	96.5371
Streptophyta	makerC5	97.5728
Streptophytina	makerC5	98
Embryophyta	makerC5	93.6855
Tracheophyta	makerC5	96.5261
Magnoliophyta	makerC5	93.1897
Mesangiospermae	makerC5	86.4159
Pentapetalae	makerC5	73.1061
rosids	makerC5	74.0157
malvids	makerC5	66.6667
Brassicaceae	makerC5	66.2734
Camelineae	makerC5	64.3357
Arabidopsis	makerC5	56.6667
Arabidopsis_thaliana	makerC5	41.2331
