PS	Method	PC
cellular_organisms	brakerM	98.4407
Eukaryota	brakerM	99.0115
Viridiplantae	brakerM	97.6306
Streptophyta	brakerM	97.9196
Streptophytina	brakerM	97.3333
Embryophyta	brakerM	96.5392
Tracheophyta	brakerM	96.7742
Magnoliophyta	brakerM	93.9541
Mesangiospermae	brakerM	89.7597
Pentapetalae	brakerM	80.6818
rosids	brakerM	66.9291
malvids	brakerM	55.5556
Brassicaceae	brakerM	67.1583
Camelineae	brakerM	75.5245
Arabidopsis	brakerM	69.5238
Arabidopsis_thaliana	brakerM	32.1773
