PS	Method	PC
cellular_organisms	brakerS	98.45
Eukaryota	brakerS	99.0445
Viridiplantae	brakerS	97.5699
Streptophyta	brakerS	98.2663
Streptophytina	brakerS	97.3333
Embryophyta	brakerS	96.357
Tracheophyta	brakerS	96.7742
Magnoliophyta	brakerS	94.0931
Mesangiospermae	brakerS	90.2821
Pentapetalae	brakerS	80.303
rosids	brakerS	67.7165
malvids	brakerS	55.5556
Brassicaceae	brakerS	66.5683
Camelineae	brakerS	76.9231
Arabidopsis	brakerS	69.0476
Arabidopsis_thaliana	brakerS	33.7187
