PS	Method	PC
cellular_organisms	braker38	98.4594
Eukaryota	braker38	99.1928
Viridiplantae	braker38	97.9344
Streptophyta	braker38	98.6824
Streptophytina	braker38	97.5556
Embryophyta	braker38	97.0856
Tracheophyta	braker38	97.7667
Magnoliophyta	braker38	94.3016
Mesangiospermae	braker38	90.1776
Pentapetalae	braker38	84.4697
rosids	braker38	71.6535
malvids	braker38	66.6667
Brassicaceae	braker38	75.6146
Camelineae	braker38	81.8182
Arabidopsis	braker38	73.8095
Arabidopsis_thaliana	braker38	36.9942
