PS	Method	PC
cellular_organisms	maker38	96.2652
Eukaryota	maker38	96.9357
Viridiplantae	maker38	94.8967
Streptophyta	maker38	95.9778
Streptophytina	maker38	95.1111
Embryophyta	maker38	93.9284
Tracheophyta	maker38	95.7816
Magnoliophyta	maker38	92.2168
Mesangiospermae	maker38	92.79
Pentapetalae	maker38	87.1212
rosids	maker38	86.6142
malvids	maker38	90.2778
Brassicaceae	maker38	89.4789
Camelineae	maker38	83.2168
Arabidopsis	maker38	80.4762
Arabidopsis_thaliana	maker38	60.501
