PS	Method	PC
cellular_organisms	brakerX	98.4594
Eukaryota	brakerX	99.061
Viridiplantae	brakerX	97.8736
Streptophyta	brakerX	98.0583
Streptophytina	brakerX	96.8889
Embryophyta	brakerX	96.4177
Tracheophyta	brakerX	97.0223
Magnoliophyta	brakerX	93.8151
Mesangiospermae	brakerX	89.4462
Pentapetalae	brakerX	79.5455
rosids	brakerX	68.5039
malvids	brakerX	62.5
Brassicaceae	brakerX	70.3048
Camelineae	brakerX	81.8182
Arabidopsis	brakerX	70.4762
Arabidopsis_thaliana	brakerX	33.6224
