GC	Method	counts
46	DirInf-orph	1097
47	DirInf-orph	754
48	DirInf-orph	482
49	DirInf-orph	304
50	DirInf-orph	193
51	DirInf-orph	108
52	DirInf-orph	68
53	DirInf-orph	38
54	DirInf-orph	27
55	DirInf-orph	14
56	DirInf-orph	4
57	DirInf-orph	3
58	DirInf-orph	1
59	DirInf-orph	1
60	DirInf-orph	1
61	DirInf-orph	1
62	DirInf-orph	0
63	DirInf-orph	0
64	DirInf-orph	0
65	DirInf-orph	0
>65	DirInf-orph	0
<30	DirInf-pool	0
30	DirInf-pool	0
31	DirInf-pool	2
32	DirInf-pool	2
33	DirInf-pool	4
34	DirInf-pool	2
35	DirInf-pool	4
36	DirInf-pool	1
37	DirInf-pool	11
38	DirInf-pool	34
39	DirInf-pool	78
40	DirInf-pool	196
41	DirInf-pool	360
42	DirInf-pool	615
43	DirInf-pool	769
44	DirInf-pool	751
45	DirInf-pool	618
46	DirInf-pool	429
47	DirInf-pool	334
48	DirInf-pool	189
49	DirInf-pool	125
50	DirInf-pool	78
51	DirInf-pool	48
52	DirInf-pool	27
53	DirInf-pool	19
54	DirInf-pool	6
55	DirInf-pool	4
56	DirInf-pool	1
57	DirInf-pool	2
58	DirInf-pool	0
59	DirInf-pool	1
60	DirInf-pool	0
61	DirInf-pool	0
62	DirInf-pool	0
63	DirInf-pool	0
64	DirInf-pool	0
65	DirInf-pool	0
>65	DirInf-pool	0
