GC	Method	counts
49	DirInf-orph	319
50	DirInf-orph	287
51	DirInf-orph	165
52	DirInf-orph	117
53	DirInf-orph	66
54	DirInf-orph	61
55	DirInf-orph	42
56	DirInf-orph	25
57	DirInf-orph	14
58	DirInf-orph	9
59	DirInf-orph	8
60	DirInf-orph	3
61	DirInf-orph	4
62	DirInf-orph	8
63	DirInf-orph	6
64	DirInf-orph	1
65	DirInf-orph	0
>65	DirInf-orph	1
<30	DirInf-pool	3
30	DirInf-pool	1
31	DirInf-pool	2
32	DirInf-pool	3
33	DirInf-pool	4
34	DirInf-pool	9
35	DirInf-pool	14
36	DirInf-pool	26
37	DirInf-pool	25
38	DirInf-pool	20
39	DirInf-pool	24
40	DirInf-pool	17
41	DirInf-pool	20
42	DirInf-pool	24
43	DirInf-pool	23
44	DirInf-pool	15
45	DirInf-pool	13
46	DirInf-pool	21
47	DirInf-pool	19
48	DirInf-pool	15
49	DirInf-pool	9
50	DirInf-pool	13
51	DirInf-pool	9
52	DirInf-pool	4
53	DirInf-pool	9
54	DirInf-pool	4
55	DirInf-pool	4
56	DirInf-pool	3
57	DirInf-pool	2
58	DirInf-pool	3
59	DirInf-pool	0
60	DirInf-pool	0
61	DirInf-pool	4
62	DirInf-pool	3
63	DirInf-pool	1
64	DirInf-pool	1
65	DirInf-pool	0
>65	DirInf-pool	1
