Length	Method	Counts
3600	Make-pool+trans	0
3700	Make-pool+trans	0
3800	Make-pool+trans	0
3900	Make-pool+trans	0
4000	Make-pool+trans	0
4100	Make-pool+trans	1
4200	Make-pool+trans	0
4300	Make-pool+trans	0
4400	Make-pool+trans	0
4500	Make-pool+trans	0
4600	Make-pool+trans	1
4700	Make-pool+trans	0
>4500	Make-pool+trans	5
100	Make-small+trans	246
200	Make-small+trans	624
300	Make-small+trans	358
400	Make-small+trans	125
500	Make-small+trans	61
600	Make-small+trans	21
700	Make-small+trans	18
800	Make-small+trans	7
900	Make-small+trans	2
1000	Make-small+trans	1
1100	Make-small+trans	4
1200	Make-small+trans	1
1300	Make-small+trans	0
1400	Make-small+trans	0
1500	Make-small+trans	2
1600	Make-small+trans	1
1700	Make-small+trans	0
1800	Make-small+trans	1
1900	Make-small+trans	1
2000	Make-small+trans	0
2100	Make-small+trans	0
2200	Make-small+trans	0
2300	Make-small+trans	0
2400	Make-small+trans	0
2500	Make-small+trans	0
2600	Make-small+trans	0
2700	Make-small+trans	0
2800	Make-small+trans	0
2900	Make-small+trans	0
3000	Make-small+trans	0
3100	Make-small+trans	0
3200	Make-small+trans	0
3300	Make-small+trans	0
3400	Make-small+trans	1
3500	Make-small+trans	0
3600	Make-small+trans	0
3700	Make-small+trans	0
3800	Make-small+trans	0
3900	Make-small+trans	0
4000	Make-small+trans	0
4100	Make-small+trans	0
4200	Make-small+trans	0
4300	Make-small+trans	0
4400	Make-small+trans	0
4500	Make-small+trans	0
4600	Make-small+trans	0
4700	Make-small+trans	0
>4500	Make-small+trans	0
100	DirInf-orph	0
200	DirInf-orph	0
300	DirInf-orph	90
400	DirInf-orph	3993
500	DirInf-orph	1714
600	DirInf-orph	927
700	DirInf-orph	639
800	DirInf-orph	429
900	DirInf-orph	387
1000	DirInf-orph	287
1100	DirInf-orph	257
1200	DirInf-orph	216
1300	DirInf-orph	180
1400	DirInf-orph	135
1500	DirInf-orph	120
1600	DirInf-orph	106
1700	DirInf-orph	56
1800	DirInf-orph	48
1900	DirInf-orph	45
2000	DirInf-orph	48
2100	DirInf-orph	24
2200	DirInf-orph	22
2300	DirInf-orph	30
2400	DirInf-orph	23
2500	DirInf-orph	14
2600	DirInf-orph	18
2700	DirInf-orph	17
2800	DirInf-orph	9
2900	DirInf-orph	8
3000	DirInf-orph	4
3100	DirInf-orph	6
3200	DirInf-orph	1
3300	DirInf-orph	3
3400	DirInf-orph	2
3500	DirInf-orph	1
3600	DirInf-orph	4
3700	DirInf-orph	1
3800	DirInf-orph	1
3900	DirInf-orph	0
4000	DirInf-orph	0
4100	DirInf-orph	3
4200	DirInf-orph	0
4300	DirInf-orph	2
4400	DirInf-orph	0
4500	DirInf-orph	1
4600	DirInf-orph	0
4700	DirInf-orph	0
>4500	DirInf-orph	1
100	DirInf-pool	0
200	DirInf-pool	0
300	DirInf-pool	5
400	DirInf-pool	250
500	DirInf-pool	77
600	DirInf-pool	17
700	DirInf-pool	10
800	DirInf-pool	4
900	DirInf-pool	0
1000	DirInf-pool	1
1100	DirInf-pool	2
1200	DirInf-pool	1
1300	DirInf-pool	0
1400	DirInf-pool	0
1500	DirInf-pool	0
1600	DirInf-pool	0
1700	DirInf-pool	0
1800	DirInf-pool	0
1900	DirInf-pool	0
2000	DirInf-pool	0
2100	DirInf-pool	0
2200	DirInf-pool	0
2300	DirInf-pool	0
2400	DirInf-pool	0
2500	DirInf-pool	0
2600	DirInf-pool	0
2700	DirInf-pool	0
2800	DirInf-pool	0
2900	DirInf-pool	0
3000	DirInf-pool	0
3100	DirInf-pool	0
3200	DirInf-pool	0
3300	DirInf-pool	0
3400	DirInf-pool	0
3500	DirInf-pool	0
3600	DirInf-pool	0
3700	DirInf-pool	0
3800	DirInf-pool	0
3900	DirInf-pool	0
4000	DirInf-pool	0
4100	DirInf-pool	0
4200	DirInf-pool	0
4300	DirInf-pool	0
4400	DirInf-pool	0
4500	DirInf-pool	0
4600	DirInf-pool	0
4700	DirInf-pool	0
>4500	DirInf-pool	0
