Score	Method	Counts
96	Brake-pool	395
97	Brake-pool	299
98	Brake-pool	248
99	Brake-pool	243
100	Brake-pool	1002
0	MIND-orph	600
1	MIND-orph	36
2	MIND-orph	26
3	MIND-orph	14
4	MIND-orph	17
5	MIND-orph	19
6	MIND-orph	20
7	MIND-orph	21
8	MIND-orph	31
9	MIND-orph	27
10	MIND-orph	20
11	MIND-orph	12
12	MIND-orph	32
13	MIND-orph	20
14	MIND-orph	19
15	MIND-orph	23
16	MIND-orph	24
17	MIND-orph	23
18	MIND-orph	26
19	MIND-orph	31
20	MIND-orph	36
21	MIND-orph	31
22	MIND-orph	31
23	MIND-orph	32
24	MIND-orph	34
25	MIND-orph	35
26	MIND-orph	30
27	MIND-orph	38
28	MIND-orph	42
29	MIND-orph	39
30	MIND-orph	50
31	MIND-orph	53
32	MIND-orph	48
33	MIND-orph	49
34	MIND-orph	50
35	MIND-orph	48
36	MIND-orph	48
37	MIND-orph	70
38	MIND-orph	78
39	MIND-orph	73
40	MIND-orph	56
41	MIND-orph	68
42	MIND-orph	64
43	MIND-orph	61
44	MIND-orph	70
45	MIND-orph	76
46	MIND-orph	82
47	MIND-orph	85
48	MIND-orph	100
49	MIND-orph	83
50	MIND-orph	78
51	MIND-orph	93
52	MIND-orph	84
53	MIND-orph	108
54	MIND-orph	92
55	MIND-orph	102
56	MIND-orph	125
57	MIND-orph	131
58	MIND-orph	95
59	MIND-orph	124
60	MIND-orph	149
61	MIND-orph	137
62	MIND-orph	130
63	MIND-orph	168
64	MIND-orph	147
65	MIND-orph	172
66	MIND-orph	134
67	MIND-orph	143
68	MIND-orph	143
69	MIND-orph	171
70	MIND-orph	156
71	MIND-orph	186
72	MIND-orph	192
73	MIND-orph	193
74	MIND-orph	210
75	MIND-orph	236
76	MIND-orph	251
77	MIND-orph	276
78	MIND-orph	313
79	MIND-orph	277
80	MIND-orph	370
81	MIND-orph	357
82	MIND-orph	437
83	MIND-orph	461
84	MIND-orph	533
85	MIND-orph	576
86	MIND-orph	678
87	MIND-orph	680
88	MIND-orph	803
89	MIND-orph	935
90	MIND-orph	1008
91	MIND-orph	1172
92	MIND-orph	1261
93	MIND-orph	1306
94	MIND-orph	1492
95	MIND-orph	1546
96	MIND-orph	1670
97	MIND-orph	1815
98	MIND-orph	1658
99	MIND-orph	921
100	MIND-orph	211
0	Make-pool+trans	1785
1	Make-pool+trans	15
2	Make-pool+trans	21
3	Make-pool+trans	18
4	Make-pool+trans	24
5	Make-pool+trans	18
6	Make-pool+trans	23
7	Make-pool+trans	17
8	Make-pool+trans	21
9	Make-pool+trans	29
10	Make-pool+trans	26
11	Make-pool+trans	26
12	Make-pool+trans	33
13	Make-pool+trans	42
14	Make-pool+trans	34
15	Make-pool+trans	36
16	Make-pool+trans	34
17	Make-pool+trans	50
18	Make-pool+trans	45
19	Make-pool+trans	34
20	Make-pool+trans	51
21	Make-pool+trans	45
22	Make-pool+trans	55
