100	makerC6	258
200	makerC6	850
300	makerC6	1101
400	makerC6	1158
500	makerC6	1221
600	makerC6	1231
700	makerC6	1207
800	makerC6	1225
900	makerC6	1248
1000	makerC6	1367
1100	makerC6	1399
1200	makerC6	1321
1300	makerC6	1082
1400	makerC6	1155
1500	makerC6	1054
1600	makerC6	979
1700	makerC6	820
1800	makerC6	689
1900	makerC6	644
2000	makerC6	526
2100	makerC6	492
2200	makerC6	428
2300	makerC6	388
2400	makerC6	323
2500	makerC6	291
2600	makerC6	233
2700	makerC6	241
2800	makerC6	172
2900	makerC6	192
3000	makerC6	164
3100	makerC6	159
3200	makerC6	121
3300	makerC6	119
3400	makerC6	109
3500	makerC6	101
3600	makerC6	98
3700	makerC6	70
3800	makerC6	66
3900	makerC6	57
4000	makerC6	49
4100	makerC6	51
4200	makerC6	33
4300	makerC6	49
4400	makerC6	41
4500	makerC6	35
4600	makerC6	45
4700	makerC6	16
>4500	makerC6	320
