100	makerC5	0
200	makerC5	16
300	makerC5	77
400	makerC5	110
500	makerC5	196
600	makerC5	200
700	makerC5	204
800	makerC5	203
900	makerC5	257
1000	makerC5	345
1100	makerC5	389
1200	makerC5	371
1300	makerC5	387
1400	makerC5	416
1500	makerC5	461
1600	makerC5	435
1700	makerC5	383
1800	makerC5	360
1900	makerC5	359
2000	makerC5	361
2100	makerC5	345
2200	makerC5	293
2300	makerC5	297
2400	makerC5	250
2500	makerC5	235
2600	makerC5	221
2700	makerC5	173
2800	makerC5	169
2900	makerC5	164
3000	makerC5	152
3100	makerC5	140
3200	makerC5	117
3300	makerC5	131
3400	makerC5	105
3500	makerC5	90
3600	makerC5	115
3700	makerC5	95
3800	makerC5	93
3900	makerC5	72
4000	makerC5	73
4100	makerC5	84
4200	makerC5	56
4300	makerC5	61
4400	makerC5	40
4500	makerC5	60
4600	makerC5	56
4700	makerC5	40
>4500	makerC5	664
