100	maker38-mikado38	0
200	maker38-mikado38	1
300	maker38-mikado38	50
400	maker38-mikado38	254
500	maker38-mikado38	332
600	maker38-mikado38	381
700	maker38-mikado38	468
800	maker38-mikado38	430
900	maker38-mikado38	526
1000	maker38-mikado38	591
1100	maker38-mikado38	698
1200	maker38-mikado38	654
1300	maker38-mikado38	524
1400	maker38-mikado38	509
1500	maker38-mikado38	634
1600	maker38-mikado38	634
1700	maker38-mikado38	480
1800	maker38-mikado38	364
1900	maker38-mikado38	322
2000	maker38-mikado38	253
2100	maker38-mikado38	253
2200	maker38-mikado38	223
2300	maker38-mikado38	204
2400	maker38-mikado38	167
2500	maker38-mikado38	168
2600	maker38-mikado38	140
2700	maker38-mikado38	136
2800	maker38-mikado38	110
2900	maker38-mikado38	110
3000	maker38-mikado38	98
3100	maker38-mikado38	87
3200	maker38-mikado38	86
3300	maker38-mikado38	74
3400	maker38-mikado38	61
3500	maker38-mikado38	36
3600	maker38-mikado38	60
3700	maker38-mikado38	37
3800	maker38-mikado38	45
3900	maker38-mikado38	29
4000	maker38-mikado38	41
4100	maker38-mikado38	33
4200	maker38-mikado38	21
4300	maker38-mikado38	22
4400	maker38-mikado38	17
4500	maker38-mikado38	19
4600	maker38-mikado38	19
4700	maker38-mikado38	9
>4500	maker38-mikado38	160
