100	mikadoX	0
200	mikadoX	0
300	mikadoX	17
400	mikadoX	1089
500	mikadoX	887
600	mikadoX	825
700	mikadoX	762
800	mikadoX	670
900	mikadoX	650
1000	mikadoX	708
1100	mikadoX	697
1200	mikadoX	642
1300	mikadoX	575
1400	mikadoX	477
1500	mikadoX	508
1600	mikadoX	482
1700	mikadoX	360
1800	mikadoX	323
1900	mikadoX	283
2000	mikadoX	217
2100	mikadoX	176
2200	mikadoX	147
2300	mikadoX	137
2400	mikadoX	119
2500	mikadoX	116
2600	mikadoX	82
2700	mikadoX	67
2800	mikadoX	62
2900	mikadoX	64
3000	mikadoX	50
3100	mikadoX	53
3200	mikadoX	47
3300	mikadoX	40
3400	mikadoX	32
3500	mikadoX	19
3600	mikadoX	35
3700	mikadoX	27
3800	mikadoX	21
3900	mikadoX	16
4000	mikadoX	18
4100	mikadoX	11
4200	mikadoX	16
4300	mikadoX	7
4400	mikadoX	7
4500	mikadoX	12
4600	mikadoX	12
4700	mikadoX	4
>4500	mikadoX	93
