100	braker38-mikado38	0
200	braker38-mikado38	0
300	braker38-mikado38	31
400	braker38-mikado38	1676
500	braker38-mikado38	529
600	braker38-mikado38	196
700	braker38-mikado38	114
800	braker38-mikado38	71
900	braker38-mikado38	49
1000	braker38-mikado38	51
1100	braker38-mikado38	27
1200	braker38-mikado38	11
1300	braker38-mikado38	14
1400	braker38-mikado38	7
1500	braker38-mikado38	6
1600	braker38-mikado38	3
1700	braker38-mikado38	2
1800	braker38-mikado38	2
1900	braker38-mikado38	0
2000	braker38-mikado38	3
2100	braker38-mikado38	0
2200	braker38-mikado38	1
2300	braker38-mikado38	0
2400	braker38-mikado38	0
2500	braker38-mikado38	0
2600	braker38-mikado38	0
2700	braker38-mikado38	0
2800	braker38-mikado38	0
2900	braker38-mikado38	0
3000	braker38-mikado38	0
3100	braker38-mikado38	0
3200	braker38-mikado38	0
3300	braker38-mikado38	0
3400	braker38-mikado38	0
3500	braker38-mikado38	0
3600	braker38-mikado38	0
3700	braker38-mikado38	0
3800	braker38-mikado38	0
3900	braker38-mikado38	0
4000	braker38-mikado38	0
4100	braker38-mikado38	0
4200	braker38-mikado38	0
4300	braker38-mikado38	0
4400	braker38-mikado38	0
4500	braker38-mikado38	0
4600	braker38-mikado38	0
4700	braker38-mikado38	0
>4500	braker38-mikado38	0
